level: 0
-1	0	0	

level: 1
0	1	0	
1	2	0	

level: 2
0	3	1	
1	4	1	
0	5	2	
1	6	2	

level: 3
0	7	3	
1	8	3	
0	9	4	
1	10	4	
0	11	5	
1	12	5	
0	13	6	
1	14	6	

level: 4
1	15	7	
0	16	8	
1	17	8	
0	18	9	
1	19	9	
0	20	10	
1	21	10	
0	22	11	
1	23	11	
0	24	12	
1	25	12	
0	26	13	
1	27	13	
0	28	14	

level: 5
1	29	15	
1	30	16	
0	31	17	
1	32	17	
1	33	18	
0	34	19	
1	35	19	
0	36	20	
1	37	20	
0	38	21	
1	39	22	
0	40	23	
1	41	23	
0	42	24	
1	43	24	
0	44	25	
0	45	26	
1	46	26	
0	47	27	
0	48	28	

level: 6
1	49	29	
1	50	30	
1	51	31	
0	52	32	
1	53	33	
1	54	34	
0	55	35	
1	56	36	
0	57	37	
0	58	38	
1	59	39	
1	60	40	
0	61	41	
1	62	42	
0	63	43	
0	64	44	
1	65	45	
0	66	46	
0	67	47	
0	68	48	

